Game,Year,Console
Mario's Early Years! CD-ROM Collection,1994,MS-DOS
Mario's Super Picross,1995,Super Famicom
Virtual Boy Wario Land,1995,Virtual Boy
Satella-Q,1995,Satellaview (Super Famicom)
Donkey Kong Country 2: Diddy's Kong Quest,1995,Super Famicom / SNES
Mario Clash,1995,Virtual Boy
Super Mario World 2: Yoshi's Island,1995,Super Famicom / SNES
Mario's Picross,1995,Game Boy
Donkey Kong Land,1995,Game Boy
Mario's Tennis,1995,Virtual Boy
UNDAKE30 Same Game,1995,ROM cartridge / Satellaview (Super Famicom)
Mario Teaches Typing,1995,Mac OS
Mario's Game Gallery,1995,MS-DOS
Super Mario Attack,1996,Arcade
Easy Racer,1996,Satellaview (Super Famicom)
Super Mario RPG: Legend of the Seven Stars,1996,Super Famicom / SNES
BS Super Mario USA,1996,Satellaview (Super Famicom)
Tetris Attack,1996,SNES
Donkey Kong Land 2,1996,Game Boy
Picross 2,1996,Game Boy
Mario Teaches Typing 2,1996,Windows
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Super Famicom / SNES
Mario Kart 64,1996,Nintendo 64
Super Mario 64,1996,Nintendo 64
Donkey Kong Land III,1997,Game Boy
Yoshi's Story,1997,Nintendo 64
Diddy Kong Racing,1997,Nintendo 64
Game & Watch Gallery 2,1997,Game Boy Color
Game & Watch Gallery,1997,Game Boy
Excitebike: Bun Bun Mario Battle,1997,Satellaview (Super Famicom)
Wrecking Crew '98,1998,Super Famicom (NP)
Wario Land II,1998,Game Boy/Game Boy Color
Mario's FUNdamentals,1998,Microsoft Windows/Macintosh
Mario no Photopi,1998,Nintendo 64
Mario Party,1998,Nintendo 64
Mario Party 2,1999,Nintendo 64
Mario Artist: Paint Studio,1999,Nintendo 64 (64DD)
Donkey Kong 64,1999,Nintendo 64
Mario Golf,1999,Game Boy Color
Game & Watch Gallery 3,1999,Game Boy Color
Super Mario Bros. Deluxe,1999,Game Boy Color
Picross NP,1999,Super Famicom (NP)
Super Smash Bros.,1999,Nintendo 64
Mario Golf,1999,Nintendo 64
Mario Artist: Polygon Studio,2000,Nintendo 64 (64DD)
Mario Party 3,2000,Nintendo 64
Mario Tennis,2000,Game Boy Color
Paper Mario,2000,Nintendo 64
Donkey Kong Country,2000,Game Boy Color
Mario Artist: Communication Kit,2000,Nintendo 64 (64DD)
Wario Land 3,2000,Game Boy Color
Mario Artist: Talent Studio,2000,Nintendo 64 (64DD)
Donkey Kong Land III,2000,Game Boy Color
Mario Tennis,2000,Nintendo 64
Super Smash Bros. Melee,2001,Nintendo GameCube
Luigi's Mansion,2001,Nintendo GameCube
Mario Family,2001,Game Boy Color
Wario Land 4,2001,Game Boy Advance
Super Mario World: Super Mario Advance 2,2001,Game Boy Advance
Mobile Golf,2001,Game Boy Color
Dr. Mario 64,2001,Nintendo 64
Super Mario Advance,2001,Game Boy Advance
Mario Kart: Super Circuit,2001,Game Boy Advance
Mario Bros.-e,2002,Game Boy Advance (e-Reader)
Donkey Kong-e,2002,Game Boy Advance (e-Reader)
Pinball-e,2002,Game Boy Advance (e-Reader)
Donkey Kong Jr.-e,2002,Game Boy Advance (e-Reader)
Mario Party 4,2002,Nintendo GameCube
Yoshi's Island: Super Mario Advance 3,2002,Game Boy Advance
Super Mario Sunshine,2002,Nintendo GameCube
Game & Watch Gallery 4,2002,Game Boy Advance
"WarioWare, Inc.: Mega Party Game$!",2003,Nintendo GameCube
Donkey Konga,2003,Nintendo GameCube
Mario & Luigi: Superstar Saga,2003,Game Boy Advance
